# x1	x2
5.25863	-5.91323
5.27011	-5.91758
5.28157	-5.92191
5.293	-5.92622
5.30442	-5.93052
5.31581	-5.9348
5.32718	-5.93906
5.33852	-5.9433
5.34985	-5.94753
5.36115	-5.95174
5.37242	-5.95593
5.38368	-5.96011
5.39491	-5.96427
5.40612	-5.96841
5.41731	-5.97254
5.42848	-5.97665
5.43962	-5.98074
5.45074	-5.98482
5.46184	-5.98888
5.47291	-5.99292
5.48397	-5.99695
5.495	-6.00096
5.50601	-6.00496
5.517	-6.00894
5.52796	-6.0129
5.53891	-6.01685
5.54983	-6.02078
5.56073	-6.0247
5.57161	-6.0286
5.58247	-6.03249
5.5933	-6.03636
5.60412	-6.04021
5.61491	-6.04405
5.62568	-6.04787
5.63643	-6.05168
5.64715	-6.05548
5.65786	-6.05925
5.66854	-6.06302
5.67921	-6.06677
5.68985	-6.0705
5.70047	-6.07422
5.71107	-6.07792
5.72164	-6.08161
5.7322	-6.08528
5.74274	-6.08894
5.75325	-6.09258
5.76375	-6.09621
5.77422	-6.09983
5.78467	-6.10343
5.7951	-6.10702
5.80551	-6.11059
5.8159	-6.11415
5.82627	-6.11769
5.83661	-6.12122
5.84694	-6.12473
5.85725	-6.12823
5.86753	-6.13172
5.8778	-6.13519
5.88804	-6.13865
5.89827	-6.1421
5.90847	-6.14553
5.91865	-6.14895
5.92882	-6.15235
5.93896	-6.15574
5.94908	-6.15912
5.95918	-6.16248
5.96926	-6.16583
5.97932	-6.16917
5.98937	-6.17249
5.99939	-6.1758
6.00939	-6.1791
6.01937	-6.18238
6.02933	-6.18566
6.03927	-6.18891
6.04919	-6.19216
6.0591	-6.19539
6.06898	-6.19861
6.07884	-6.20181
6.08868	-6.205
6.0985	-6.20818
6.10831	-6.21135
6.11809	-6.21451
6.12785	-6.21765
6.1376	-6.22078
6.14732	-6.22389
6.15703	-6.227
6.16671	-6.23009
6.17638	-6.23317
6.18603	-6.23624
6.19566	-6.23929
6.20527	-6.24234
6.21485	-6.24537
6.22442	-6.24839
6.23398	-6.25139
6.24351	-6.25439
6.25302	-6.25737
6.26251	-6.26034
6.27199	-6.2633
6.28145	-6.26624
6.29088	-6.26918
6.3003	-6.2721
6.3097	-6.27501
6.31908	-6.27791
6.32844	-6.2808
6.33779	-6.28368
6.34711	-6.28654
6.35642	-6.2894
6.3657	-6.29224
6.37497	-6.29507
6.38422	-6.29789
6.39345	-6.3007
6.40267	-6.3035
6.41186	-6.30628
6.42104	-6.30906
6.4302	-6.31182
6.43934	-6.31457
6.44846	-6.31732
6.45756	-6.32005
6.46664	-6.32277
6.47571	-6.32548
6.48476	-6.32817
6.49379	-6.33086
6.5028	-6.33354
6.5118	-6.3362
6.52077	-6.33886
6.52973	-6.3415
6.53867	-6.34414
6.5476	-6.34676
6.5565	-6.34937
6.56539	-6.35198
6.57426	-6.35457
6.58311	-6.35715
6.59194	-6.35972
6.60076	-6.36228
6.60956	-6.36483
6.61834	-6.36737
6.6271	-6.3699
6.63585	-6.37243
6.64457	-6.37494
6.65329	-6.37744
6.66198	-6.37993
6.67065	-6.38241
6.67931	-6.38488
6.68795	-6.38734
6.69658	-6.38979
6.70519	-6.39223
6.71378	-6.39466
6.72235	-6.39708
6.7309	-6.39949
6.73944	-6.40189
6.74796	-6.40429
6.75647	-6.40667
6.76495	-6.40904
6.77342	-6.41141
6.78188	-6.41376
6.79031	-6.41611
6.79873	-6.41844
6.80714	-6.42077
6.81552	-6.42309
6.82389	-6.42539
6.83224	-6.42769
6.84058	-6.42998
6.8489	-6.43226
6.8572	-6.43453
6.86548	-6.43679
6.87375	-6.43905
6.88201	-6.44129
6.89024	-6.44353
6.89846	-6.44575
6.90666	-6.44797
6.91485	-6.45018
6.92302	-6.45238
6.93118	-6.45457
6.93931	-6.45675
6.94743	-6.45892
6.95554	-6.46108
6.96363	-6.46324
6.9717	-6.46539
6.97976	-6.46753
6.9878	-6.46966
6.99582	-6.47178
7.00383	-6.47389
7.01182	-6.47599
7.0198	-6.47809
7.02776	-6.48018
7.0357	-6.48226
7.04363	-6.48433
7.05155	-6.48639
7.05944	-6.48845
7.06732	-6.49049
7.07519	-6.49253
7.08304	-6.49456
7.09087	-6.49658
7.09869	-6.4986
7.10649	-6.5006
7.11428	-6.5026
7.12205	-6.50459
7.12981	-6.50657
7.13755	-6.50854
7.14527	-6.51051
7.15298	-6.51247
7.16068	-6.51442
7.16836	-6.51636
7.17602	-6.51829
7.18367	-6.52022
7.1913	-6.52214
7.19892	-6.52405
7.20652	-6.52596
7.21411	-6.52785
7.22168	-6.52974
7.22923	-6.53162
7.23678	-6.53349
7.2443	-6.53536
7.25181	-6.53722
7.25931	-6.53907
7.26679	-6.54091
7.27426	-6.54275
7.28171	-6.54458
7.28915	-6.5464
7.29657	-6.54822
7.30397	-6.55002
7.31137	-6.55182
7.31874	-6.55362
7.32611	-6.5554
7.33345	-6.55718
7.34079	-6.55895
7.34811	-6.56071
7.35541	-6.56247
7.3627	-6.56422
7.36997	-6.56597
7.37723	-6.5677
7.38448	-6.56943
7.39171	-6.57115
7.39893	-6.57287
